"K1","ko"
"ko:K03073","ko03070"
"ko:K05303",""
"ko:K01826","ko01220"
"ko:K03320",""
"ko:K09516","ko00830"
"ko:K01465","ko01240"
"ko:K02405","ko05111"
"ko:K04488",""
"ko:K00858","ko01240"
"ko:K02356",""
"ko:K01495","ko01240"
"ko:K04038","ko01110"
"ko:K02064","ko02010"
"ko:K22470","ko01120"
"ko:K01778","ko01230"
"ko:K00789","ko01240"
"ko:K08369",""
"ko:K04755","ko01120"
"ko:K00013","ko01230"
"ko:K01897","ko04920"
"ko:K09007","ko01240"
"ko:K01415",""
"ko:K02256","ko05415"
"ko:K03430","ko01120"
"ko:K00677","ko01503"
"ko:K00574",""
"ko:K02959","ko03010"
"ko:K02314","ko04112"
"ko:K03525","ko01240"
"ko:K00324","ko01100"
"ko:K10559","ko02010"
"ko:K04751","ko02020"
"ko:K00795","ko01110"
"ko:K09895",""
"ko:K21053","ko01232"
"ko:K11209",""
"ko:K00248","ko01212"
"ko:K00523","ko01250"
"ko:K02535","ko01100"
"ko:K11073","ko02010"
"ko:K00287","ko01523"
"ko:K01619","ko01100"
"ko:K01356",""
"ko:K01006","ko01200"
"ko:K03688",""
"ko:K09903","ko01240"
"ko:K01783","ko01230"
"ko:K07107",""
"ko:K00252","ko01120"
"ko:K00674","ko01230"
"ko:K01968","ko01100"
"ko:K03655","ko03440"
"ko:K01262",""
"ko:K00665","ko04936"
"ko:K07304",""
"ko:K20276","ko02024"
"ko:K02204","ko01230"
"ko:K01737","ko01240"
"ko:K01874","ko01100"
"ko:K04087",""
"ko:K07735",""
"ko:K03305",""
"ko:K01921","ko01502"
"ko:K21573",""
"ko:K03386","ko04214"
"ko:K06867",""
"ko:K10191","ko02010"
"ko:K08319",""
"ko:K01760","ko01230"
"ko:K03101","ko03060"
"ko:K00015","ko01120"
"ko:K00817","ko01230"
"ko:K07393",""
"ko:K07007","ko00121"
"ko:K17865","ko01200"
"ko:K03527","ko01110"
"ko:K01633","ko01240"
"ko:K00813","ko01230"
"ko:K01703","ko01230"
"ko:K03773",""
"ko:K00958","ko01120"
"ko:K00284","ko01120"
"ko:K02613","ko01120"
"ko:K00331","ko01100"
"ko:K05813","ko02010"
"ko:K02389","ko02040"
"ko:K00850","ko05230"
"ko:K02051",""
"ko:K01745","ko01100"
"ko:K01790","ko01250"
"ko:K05323",""
"ko:K00760","ko01232"
"ko:K01893","ko00970"
"ko:K07124",""
"ko:K03770",""
"ko:K02687",""
"ko:K09476","ko02020"
"ko:K15765","ko01220"
"ko:K04774",""
"ko:K01284",""
"ko:K03564",""
"ko:K01996","ko02024"
"ko:K15633","ko01230"
"ko:K01730","ko01100"
"ko:K00161","ko05415"
"ko:K10956","ko05110"
"ko:K01924","ko01100"
"ko:K15509",""
"ko:K03169",""
"ko:K06991",""
"ko:K21405",""
"ko:K19519",""
"ko:K01591","ko01240"
"ko:K01972","ko03430"
"ko:K09607",""
"ko:K00020","ko01100"
"ko:K00821","ko01230"
"ko:K03210","ko03070"
"ko:K14645","ko02024"
"ko:K00451","ko01120"
"ko:K09882","ko01240"
"ko:K00956","ko01120"
"ko:K01641","ko03320"
"ko:K01716","ko01212"
"ko:K02988","ko03010"
"ko:K03590","ko04112"
"ko:K10027","ko01110"
"ko:K01620","ko01230"
"ko:K20035","ko01100"
"ko:K04082",""
"ko:K07638","ko02026"
"ko:K02834",""
"ko:K01952","ko01110"
"ko:K01907","ko01100"
"ko:K03665",""
"ko:K17675",""
"ko:K02262","ko05415"
"ko:K12368","ko02030"
"ko:K01595","ko01200"
"ko:K09808","ko02010"
"ko:K07736",""
"ko:K03458",""
"ko:K03624",""
"ko:K03704",""
"ko:K01011","ko04122"
"ko:K19337",""
"ko:K01966","ko01200"
"ko:K09835","ko01110"
"ko:K01875","ko00970"
"ko:K00703","ko02026"
"ko:K07146",""
"ko:K03557","ko05111"
"ko:K00547","ko01110"
"ko:K01207","ko01501"
"ko:K00812","ko01230"
"ko:K03587","ko01501"
"ko:K03321",""
"ko:K00074","ko01200"
"ko:K01190","ko01100"
"ko:K01118",""
"ko:K00797","ko01110"
"ko:K01868","ko00970"
"ko:K01630","ko01100"
"ko:K02302","ko01240"
"ko:K13581","ko04112"
"ko:K06446","ko01120"
"ko:K00067","ko01250"
"ko:K16128","ko01054"
"ko:K01710","ko01250"
"ko:K00764","ko01110"
"ko:K01583","ko01110"
"ko:K01488","ko05340"
"ko:K03750","ko01240"
"ko:K07444",""
"ko:K05349","ko01110"
"ko:K02276","ko01100"
"ko:K03596","ko05134"
"ko:K00114","ko01120"
"ko:K03650",""
"ko:K03690",""
"ko:K03310",""
"ko:K02806","ko02060"
"ko:K02609","ko01120"
"ko:K00855","ko01200"
"ko:K03306",""
"ko:K09158",""
"ko:K09022",""
"ko:K16845","ko01100"
"ko:K00003","ko01230"
"ko:K01704","ko01230"
"ko:K21430",""
"ko:K01468","ko01100"
"ko:K01939","ko01240"
"ko:K02611","ko01120"
"ko:K07400",""
"ko:K03466",""
"ko:K00655","ko01110"
"ko:K03932",""
"ko:K00508","ko01100"
"ko:K00782",""
"ko:K07338",""
"ko:K00010","ko01120"
"ko:K07119","ko00590"
"ko:K01654","ko01250"
"ko:K02114","ko01100"
"ko:K03215",""
"ko:K11899",""
"ko:K00983","ko01250"
"ko:K00058","ko01230"
"ko:K03405","ko01110"
"ko:K06969",""
"ko:K10111","ko02010"
"ko:K02836",""
"ko:K02422","ko02040"
"ko:K05946","ko00552"
"ko:K01531",""
"ko:K01555","ko01120"
"ko:K01814","ko01230"
"ko:K01069","ko01100"
"ko:K00690","ko01100"
"ko:K00215","ko01230"
"ko:K02377","ko01250"
"ko:K00833","ko01240"
"ko:K03575","ko03410"
"ko:K10235","ko02010"
"ko:K00457","ko01240"
"ko:K01409",""
"ko:K00029","ko03320"
"ko:K06213",""
"ko:K02067","ko02010"
"ko:K07323","ko02010"
"ko:K01883","ko00970"
"ko:K01007","ko01200"
"ko:K03583","ko03440"
"ko:K01578","ko04936"
"ko:K00906",""
"ko:K11688","ko02020"
"ko:K07113",""
"ko:K01601","ko01200"
"ko:K05524",""
"ko:K15894","ko01250"
"ko:K20455","ko01100"
"ko:K15502",""
"ko:K09919",""
"ko:K02471","ko02010"
"ko:K13482","ko01232"
"ko:K06024",""
"ko:K07286",""
"ko:K09921",""
"ko:K00773",""
"ko:K06202",""
"ko:K03185","ko01240"
"ko:K07147",""
"ko:K01908","ko01100"
"ko:K00344",""
"ko:K03601","ko03430"
"ko:K09971","ko02010"
"ko:K01623","ko04066"
"ko:K00595","ko01240"
"ko:K10300",""
"ko:K09767",""
"ko:K22129",""
"ko:K12297",""
"ko:K15724",""
"ko:K00830","ko04146"
"ko:K06324",""
"ko:K06148",""
"ko:K00573",""
"ko:K09011","ko01230"
"ko:K09948",""
"ko:K01462",""
"ko:K00604","ko01100"
"ko:K06997",""
"ko:K21571",""
"ko:K02618","ko01120"
"ko:K08325","ko01100"
"ko:K06158",""
"ko:K21104","ko01120"
"ko:K09992",""
"ko:K15737","ko01120"
"ko:K17285","ko01100"
"ko:K07044",""
"ko:K00939","ko01240"
"ko:K00104","ko01120"
"ko:K03851","ko01100"
"ko:K05297","ko00071"
"ko:K00209","ko01212"
"ko:K07039",""
