"K1","ko"
"ko:K01803","ko01230"
"ko:K13216",""
"ko:K02958","ko05171"
"ko:K13025","ko03040"
"ko:K20872",""
"ko:K18595",""
"ko:K19674",""
"ko:K11797",""
"ko:K01551","ko03060"
"ko:K10456","ko05418"
"ko:K02212","ko04113"
"ko:K01510","ko05169"
"ko:K09414","ko05134"
"ko:K02690","ko01100"
"ko:K05863","ko05415"
"ko:K03768",""
"ko:K00910","ko05032"
"ko:K02165","ko05022"
"ko:K03526","ko01110"
"ko:K14016","ko04141"
"ko:K12196","ko04217"
"ko:K07407","ko01100"
"ko:K13617",""
"ko:K21770","ko05170"
"ko:K14312","ko05014"
"ko:K10956","ko05110"
"ko:K06174",""
"ko:K10400","ko04814"
"ko:K14616","ko04977"
"ko:K09496",""
"ko:K08955","ko04139"
"ko:K04445","ko05219"
"ko:K02542","ko04113"
"ko:K00548","ko04980"
"ko:K14755","ko01100"
"ko:K12447","ko01250"
"ko:K01754","ko01230"
"ko:K01640","ko04146"
"ko:K01251","ko01100"
"ko:K19759",""
"ko:K01534",""
"ko:K01697","ko01230"
"ko:K19870",""
"ko:K08433",""
"ko:K06972",""
"ko:K02714","ko01100"
"ko:K03129","ko05016"
"ko:K02703","ko01100"
"ko:K10587","ko05203"
"ko:K00927","ko04066"
"ko:K01408","ko05010"
"ko:K02108","ko01100"
"ko:K00773",""
"ko:K18272",""
"ko:K06641","ko05166"
"ko:K22072",""
"ko:K04371","ko05417"
"ko:K21919",""
"ko:K19770","ko04212"
"ko:K01829",""
"ko:K04854","ko04934"
"ko:K08511",""
"ko:K01946","ko04936"
"ko:K02557","ko02040"
"ko:K14411","ko03015"
"ko:K03966","ko05415"
"ko:K11665","ko03082"
"ko:K01733","ko01230"
"ko:K03028","ko05169"
"ko:K06883",""
"ko:K02372","ko01240"
"ko:K13100",""
"ko:K10523","ko04341"
"ko:K12862","ko03040"
"ko:K06911",""
"ko:K09667","ko04931"
"ko:K03235",""
"ko:K21866",""
